Date,Open,High,Low,Close,Adj Close,Volume
2022-06-08,42.250000,42.259998,41.029999,41.230000,39.626881,59649900
2022-06-09,41.009998,41.349998,40.009998,40.009998,38.454319,39047200
2022-06-10,39.849998,40.080002,39.180000,39.180000,37.656593,43066200
2022-06-13,38.549999,38.810001,37.669998,37.770000,36.301418,50335900
2022-06-14,38.009998,38.200001,37.540001,37.930000,36.455196,31351700
2022-06-15,38.560001,39.169998,37.919998,38.650002,37.147202,37652300
2022-06-16,37.700001,37.790001,36.930000,37.340000,35.888142,45576500
2022-06-17,37.480000,38.119999,36.599998,36.970001,35.532524,71393200
2022-06-21,37.360001,38.029999,37.330002,37.730000,36.262970,34004900
2022-06-22,37.330002,37.770000,37.220001,37.380001,35.926582,32571000
2022-06-23,37.610001,37.619999,36.910000,37.410000,35.955414,30163000
2022-06-24,37.849998,38.639999,37.740002,38.610001,37.108753,38159900
2022-06-27,38.869999,39.060001,38.470001,38.630001,37.127979,29585300
2022-06-28,38.580002,39.020000,37.740002,37.779999,36.311028,37824200
2022-06-29,37.540001,37.599998,37.020000,37.290001,35.840080,25437200
2022-06-30,37.209999,38.000000,36.730000,37.410000,35.955414,35141000
2022-07-01,37.090000,37.200001,35.880001,36.340000,34.927017,40596300
2022-07-05,35.930000,36.740002,35.540001,36.689999,35.263405,33215000
2022-07-06,36.820000,37.419998,36.459999,36.990002,35.551746,26258300
2022-07-07,37.889999,38.330002,37.730000,38.139999,36.657032,33165400
2022-07-08,37.660000,38.139999,37.389999,37.990002,36.512867,22566300
2022-07-11,37.660000,37.669998,37.029999,37.200001,35.753578,25904300
2022-07-12,37.650002,37.700001,36.990002,37.209999,35.763191,30546300
2022-07-13,36.680000,37.430000,36.619999,37.209999,35.763191,27059200
2022-07-14,36.990002,38.160000,36.290001,37.709999,36.243752,36690700
2022-07-15,38.270000,38.669998,37.730000,38.619999,37.118366,32892300
2022-07-18,39.099998,39.340000,38.529999,38.709999,37.204868,30814400
2022-07-19,39.320000,40.730000,39.240002,40.220001,38.656155,53095300
2022-07-20,40.209999,40.669998,39.560001,40.560001,38.982933,36387900
2022-07-21,40.509998,40.650002,39.820000,40.610001,39.030991,29661200
2022-07-22,40.369999,40.509998,38.939999,39.200001,37.675816,41350000
2022-07-25,39.279999,39.410000,38.549999,39.160000,37.637375,32263400
2022-07-26,39.099998,39.570000,38.880001,38.959999,37.445141,35925500
2022-07-27,39.270000,40.419998,39.230000,40.180000,38.617710,42571600
2022-07-28,40.090000,40.119999,39.040001,39.709999,38.165981,56662300
2022-07-29,35.599998,36.619999,35.240002,36.310001,34.898186,125292400
2022-08-01,36.049999,37.689999,36.049999,36.959999,35.522911,52513400
2022-08-02,36.590000,36.660000,36.000000,36.009998,34.609852,53929400
2022-08-03,36.090000,36.590000,35.259998,36.520000,35.100021,59513900
2022-08-04,36.009998,36.099998,35.360001,35.660000,34.619461,54046300
2022-08-05,35.349998,35.689999,35.180000,35.389999,34.357342,40205100
2022-08-08,35.360001,35.959999,35.200001,35.380001,34.347630,41534600
